Dataset,Model,Base Model,Category,Target Transform,RMSE,MAPE,Test RMSE,Test MAPE,Tuning Time (s),Best Config Time (s),Combinations,Selection Basis,Final Forecast Available,Roles,Is Best Overall,Is Fastest,Is Best Statistical,Is Best Dl,Is Best Foundation
Kaggle BTC/USD Hourly,N-BEATS,N-BEATS,dl,raw,6115.50732421875,4.368752956390381,4040.908447265625,4.335734844207764,3448.0782520771027,329.81149077415466,10,validation,True,,False,False,False,False,False
Kaggle BTC/USD Hourly,TiDE,TiDE,dl,raw,6190.62646484375,4.833932399749756,5959.26953125,6.219874858856201,885.6075451374054,109.99784183502197,10,validation,True,,False,False,False,False,False
Kaggle BTC/USD Hourly,TimeGPT,TimeGPT,foundation,raw,6493.96337890625,4.7858195304870605,2300.5835423461,2.397331170603546,17.725496768951416,17.725496768951416,1,validation,True,,False,False,False,False,False
Kaggle BTC/USD Hourly,GraniteTTM,GraniteTTM,foundation,raw,6501.2919921875,4.683056831359863,1650.0975341796875,1.5467418432235718,1.4813458919525146,1.4813458919525146,1,validation,True,fastest,False,True,False,False,False
Kaggle BTC/USD Hourly,Holt-Winters [log],Holt-Winters,statistical,log,6591.485722761256,4.830747996452222,1424.4182373841336,1.234210530064568,251.60060787200928,101.64821910858154,6,validation,True,best_overall; best_statistical,True,False,True,False,False
Kaggle BTC/USD Hourly,AutoARIMA [log],AutoARIMA,statistical,log,6907.311560139715,4.990577409102271,1535.5339026296529,1.4908466473089927,15723.366493940353,15723.364963054657,1,validation,True,,False,False,False,False,False
Kaggle BTC/USD Hourly,Chronos2,Chronos2,foundation,raw,6924.2607421875,4.9214019775390625,1458.2298583984375,1.4464277029037476,4.020603895187378,4.020603895187378,1,validation,True,best_foundation,False,False,False,False,True
Kaggle BTC/USD Hourly,TFT,TFT,dl,raw,7058.79296875,5.639443397521973,3201.53955078125,2.761582851409912,8131.153342008591,1494.161337852478,10,validation,True,best_dl,False,False,False,True,False
Kaggle BTC/USD Hourly,Prophet [log],Prophet,statistical,log,28543.631928753253,23.780323020208325,20034.559428199915,22.85965826726046,724.6824009418488,242.31562876701355,3,validation,True,,False,False,False,False,False
