Model A,Model B,N,H,Criterion,Mean Loss Diff,DM Stat,P-Value Holm,Significant Holm,P-Value,Significant,Winner
N-BEATS,TiDE,29,1,mse,13536942.179216055,1.949916614192449,0.1674492840482653,No,0.06126395105901561,No,-
Holt-Winters [log],N-BEATS,29,1,mse,-18561002.62611365,-1.995362916734107,0.1674492840482653,No,0.05581642801608844,No,-
Holt-Winters [log],TiDE,29,1,mse,-5024060.446897593,-1.0763411475162392,0.29096171671779736,No,0.29096171671779736,No,-
