Model A,Model B,N,H,Criterion,Mean Loss Diff,DM Stat,P-Value Holm,Significant Holm,P-Value,Significant,Winner
GraniteTTM,TiDE (GLOBAL),2820,1,mse,-0.11629410891675487,-8.396926597270479,0.0,Yes,0.0,Yes,GraniteTTM
Holt-Winters (LOCAL) [raw],TiDE (GLOBAL),2825,1,mse,-0.13515137431871188,-10.08507576035706,0.0,Yes,0.0,Yes,Holt-Winters (LOCAL) [raw]
TiDE (GLOBAL),TimeGPT,2820,1,mse,0.11280630010142875,8.357014822338229,8.881784197001252e-16,Yes,2.220446049250313e-16,Yes,TimeGPT
Holt-Winters (LOCAL) [raw],TimeGPT,2830,1,mse,-0.02167894431580567,-3.4732124674940295,0.0015659623584678428,Yes,0.0005219874528226143,Yes,Holt-Winters (LOCAL) [raw]
GraniteTTM,Holt-Winters (LOCAL) [raw],2830,1,mse,0.018865404701140707,2.8694073997678626,0.008285837928564632,Yes,0.004142918964282316,Yes,Holt-Winters (LOCAL) [raw]
GraniteTTM,TimeGPT,2830,1,mse,-0.002813539614664958,-0.5054514704042292,0.6132811520784545,No,0.6132811520784545,No,-
