timestamp,eur_czk
2018-01-01,25.54
2018-02-01,25.27
2018-03-01,25.42
2018-04-01,25.43
2018-05-01,25.54
2018-06-01,25.79
2018-07-01,26.02
2018-08-01,25.6
2018-09-01,25.735
2018-10-01,25.715
2018-11-01,25.92
2018-12-01,25.955
2019-01-01,25.725
2019-02-01,25.76
2019-03-01,25.6
2019-04-01,25.8
2019-05-01,25.66
2019-06-01,25.817
2019-07-01,25.445
2019-08-01,25.66
2019-09-01,25.915
2019-10-01,25.815
2019-11-01,25.51
2019-12-01,25.515
2020-01-01,25.41
2020-02-01,25.21
2020-03-01,25.39
2020-04-01,27.325
2020-05-01,27.095
2020-06-01,26.915
2020-07-01,26.74
2020-08-01,26.175
2020-09-01,26.21
2020-10-01,27.21
2020-11-01,27.25
2020-12-01,26.19
2021-01-01,26.245
2021-02-01,26.02
2021-03-01,26.195
2021-04-01,26.145
2021-05-01,25.885
2021-06-01,25.45
2021-07-01,25.485
2021-08-01,25.5
2021-09-01,25.525
2021-10-01,25.495
2021-11-01,25.695
2021-12-01,25.525
2022-01-01,24.86
2022-02-01,24.365
2022-03-01,24.995
2022-04-01,24.385
2022-05-01,24.605
2022-06-01,24.71
2022-07-01,24.74
2022-08-01,24.61
2022-09-01,24.545
2022-10-01,24.55
2022-11-01,24.485
2022-12-01,24.34
2023-01-01,24.115
2023-02-01,23.79
2023-03-01,23.495
2023-04-01,23.49
2023-05-01,23.505
2023-06-01,23.745
2023-07-01,23.73
2023-08-01,23.91
2023-09-01,24.075
2023-10-01,24.34
2023-11-01,24.56
2023-12-01,24.29
2024-01-01,24.725
2024-02-01,24.885
2024-03-01,25.36
2024-04-01,25.305
2024-05-01,25.145
2024-06-01,24.705
2024-07-01,25.03
2024-08-01,25.46
2024-09-01,25.03
2024-10-01,25.18
2024-11-01,25.325
2024-12-01,25.265
2025-01-01,25.185
2025-02-01,25.17
2025-03-01,25.025
2025-04-01,24.965
2025-05-01,24.93
2025-06-01,24.93
2025-07-01,24.75
2025-08-01,24.57
2025-09-01,24.445
2025-10-01,24.34
2025-11-01,24.335
2025-12-01,24.17
