Dataset,Series ID,Partition,Time,Value
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2023-06-01,23.745
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2023-07-01,23.73
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2023-08-01,23.91
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2023-09-01,24.075
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2023-10-01,24.34
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2023-11-01,24.56
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2023-12-01,24.29
ECB EUR/CZK Monthly Exchange Rate,series_0,test,2024-01-01,24.725
ECB EUR/CZK Monthly Exchange Rate,series_0,test,2024-02-01,24.885
ECB EUR/CZK Monthly Exchange Rate,series_0,test,2024-03-01,25.36
ECB EUR/CZK Monthly Exchange Rate,series_0,test,2024-04-01,25.305
ECB EUR/CZK Monthly Exchange Rate,series_0,test,2024-05-01,25.145
ECB EUR/CZK Monthly Exchange Rate,series_0,test,2024-06-01,24.705
ECB EUR/CZK Monthly Exchange Rate,series_0,test,2024-07-01,25.03
ECB EUR/CZK Monthly Exchange Rate,series_0,test,2024-08-01,25.46
ECB EUR/CZK Monthly Exchange Rate,series_0,test,2024-09-01,25.03
ECB EUR/CZK Monthly Exchange Rate,series_0,test,2024-10-01,25.18
ECB EUR/CZK Monthly Exchange Rate,series_0,test,2024-11-01,25.325
ECB EUR/CZK Monthly Exchange Rate,series_0,test,2024-12-01,25.265
ECB EUR/CZK Monthly Exchange Rate,series_0,test,2025-01-01,25.185
ECB EUR/CZK Monthly Exchange Rate,series_0,test,2025-02-01,25.17
ECB EUR/CZK Monthly Exchange Rate,series_0,test,2025-03-01,25.025
ECB EUR/CZK Monthly Exchange Rate,series_0,test,2025-04-01,24.965
ECB EUR/CZK Monthly Exchange Rate,series_0,test,2025-05-01,24.93
ECB EUR/CZK Monthly Exchange Rate,series_0,test,2025-06-01,24.93
ECB EUR/CZK Monthly Exchange Rate,series_0,test,2025-07-01,24.75
ECB EUR/CZK Monthly Exchange Rate,series_0,test,2025-08-01,24.57
ECB EUR/CZK Monthly Exchange Rate,series_0,test,2025-09-01,24.445
ECB EUR/CZK Monthly Exchange Rate,series_0,test,2025-10-01,24.34
ECB EUR/CZK Monthly Exchange Rate,series_0,test,2025-11-01,24.335
ECB EUR/CZK Monthly Exchange Rate,series_0,test,2025-12-01,24.17
