Model A,Model B,N,H,Criterion,Mean Loss Diff,DM Stat,P-Value Holm,Significant Holm,P-Value,Significant,Winner
N-BEATS,TimeGPT,109,1,mse,0.3869379830621506,7.188489752547337,5.36580113674745e-10,Yes,8.943001894579083e-11,Yes,TimeGPT
Holt-Winters [raw],N-BEATS,110,1,mse,-0.4144953489149484,-7.051183718134958,8.521094940761031e-10,Yes,1.7042189881522063e-10,Yes,Holt-Winters [raw]
TiDE,TimeGPT,109,1,mse,0.1892620058759749,5.273576122937376,2.772807196294025e-06,Yes,6.932017990735062e-07,Yes,TimeGPT
Holt-Winters [raw],TiDE,110,1,mse,-0.20790599518563507,-5.11000209958604,4.150847770834076e-06,Yes,1.3836159236113588e-06,Yes,Holt-Winters [raw]
N-BEATS,TiDE,110,1,mse,0.20658935372931328,4.399376389095964,5.0770882550121854e-05,Yes,2.5385441275060927e-05,Yes,TiDE
Holt-Winters [raw],TimeGPT,109,1,mse,-0.017046923906562105,-1.5069217813187756,0.1347502142607544,No,0.1347502142607544,No,-
