Dataset,Model,Base Model,Category,Target Transform,RMSE,MAPE,Test RMSE,Test MAPE,Tuning Time (s),Best Config Time (s),Combinations,Selection Basis,Final Forecast Available,Roles,Is Best Overall,Is Fastest,Is Best Statistical,Is Best Dl,Is Best Foundation
ECB EUR/CZK Monthly Exchange Rate,N-BEATS,N-BEATS,dl,raw,0.9213225245475769,2.7265567779541016,0.49325209856033325,1.6634718179702759,25.909929990768433,1.2391176223754883,10,validation,True,best_overall; best_dl,True,False,False,True,False
ECB EUR/CZK Monthly Exchange Rate,TiDE,TiDE,dl,raw,0.9303491711616516,2.7930097579956055,0.6268657445907593,1.8855047225952148,9.109997987747192,1.7153630256652832,10,validation,True,,False,False,False,False,False
ECB EUR/CZK Monthly Exchange Rate,Holt-Winters [raw],Holt-Winters,statistical,raw,1.132244729535744,3.357996320003238,0.9583218069429492,3.6703277746656062,6.0051398277282715,0.1464540958404541,15,validation,True,,False,False,False,False,False
ECB EUR/CZK Monthly Exchange Rate,TimeGPT,TimeGPT,foundation,raw,1.1416351795196533,3.916595458984375,0.7974681454719377,2.8377112560447295,9.282495021820068,9.282495021820068,1,validation,True,best_foundation,False,False,False,False,True
ECB EUR/CZK Monthly Exchange Rate,TFT,TFT,dl,raw,1.2403491735458374,4.077456951141357,1.2244960069656372,3.0165786743164062,35.24830985069275,3.5137200355529785,10,validation,True,,False,False,False,False,False
ECB EUR/CZK Monthly Exchange Rate,AutoARIMA [raw],AutoARIMA,statistical,raw,1.3303240916111234,4.304993135464857,0.725232013607567,2.574741218615538,1.2023067474365234,1.2009210586547852,1,validation,True,fastest; best_statistical,False,True,True,False,False
ECB EUR/CZK Monthly Exchange Rate,Chronos2,Chronos2,foundation,raw,1.360496163368225,4.782388687133789,0.8819507360458374,3.2712905406951904,3.705029010772705,3.705029010772705,1,validation,True,,False,False,False,False,False
ECB EUR/CZK Monthly Exchange Rate,GraniteTTM,GraniteTTM,foundation,raw,1.6669014692306519,5.117913246154785,1.0519914627075195,3.9908688068389893,1.5754642486572266,1.5754642486572266,1,validation,True,,False,False,False,False,False
ECB EUR/CZK Monthly Exchange Rate,Prophet [raw],Prophet,statistical,raw,1.8459551897126063,5.7620048389436835,1.0206584981118767,3.9064540188311034,4.107010841369629,0.6162922382354736,6,validation,True,,False,False,False,False,False
