Model,Base Model,Target Transform,RMSE,MAPE,Tuning Time (s),Best Config Time (s),Combinations,Selection Basis,Category,Params JSON,Params Compact
TiDE,TiDE,raw,688.8502197265625,3.7250163555145264,2.2130961418151855,0.17354822158813477,10,validation,dl,"{""batch_size"": 32, ""dropout"": 0.1, ""hidden_size"": 128, ""input_chunk_length"": 12, ""n_epochs"": 30, ""num_decoder_layers"": 1, ""num_encoder_layers"": 1, ""output_chunk_length"": 12, ""random_state"": 42}",input_chunk_length=12; output_chunk_length=12; n_epochs=30; batch_size=32; random_state=42; hidden_size=128; dropout=0.1; num_encoder_layers=1; num_decoder_layers=1
Holt-Winters [log],Holt-Winters,log,996.9973210950641,4.528926028275623,0.16237711906433105,0.058795928955078125,6,validation,statistical,"{""__base_model__"": ""Holt-Winters"", ""__target_transform__"": ""log"", ""damped"": true, ""seasonal"": ""NONE"", ""seasonal_periods"": 1, ""trend"": ""additive""}",seasonal_periods=1; trend=ModelMode.ADDITIVE; seasonal=ModelMode.NONE; damped=True
Chronos2,Chronos2,raw,1005.7807006835938,5.274154186248779,3.976562023162842,3.976562023162842,1,validation,foundation,"{""model"": ""amazon/chronos-2""}",model=amazon/chronos-2
TimeGPT,TimeGPT,raw,1165.15380859375,6.118697643280029,29.37297797203064,29.37297797203064,1,validation,foundation,"{""model"": ""timegpt-1""}",model=timegpt-1
GraniteTTM,GraniteTTM,raw,1243.0908203125,5.682677268981934,1.5646069049835205,1.5646069049835205,1,validation,foundation,"{""model"": ""ibm-granite/granite-timeseries-ttm-r1""}",model=ibm-granite/granite-timeseries-ttm-r1
N-BEATS,N-BEATS,raw,1250.91455078125,6.888293743133545,5.308344841003418,0.48477697372436523,10,validation,dl,"{""batch_size"": 64, ""input_chunk_length"": 12, ""layer_widths"": 256, ""n_epochs"": 15, ""num_blocks"": 1, ""num_stacks"": 10, ""output_chunk_length"": 6, ""random_state"": 42}",input_chunk_length=12; output_chunk_length=6; n_epochs=15; batch_size=64; random_state=42; num_stacks=10; num_blocks=1; layer_widths=256
AutoARIMA [log],AutoARIMA,log,1548.2217166331109,8.02247336805767,0.8013057708740234,0.7997827529907227,1,validation,statistical,"{""__base_model__"": ""AutoARIMA"", ""__target_transform__"": ""log"", ""max_p"": 3, ""max_q"": 3, ""season_length"": 1, ""seasonal"": false, ""stepwise"": true}",season_length=1; seasonal=False; max_p=3; max_q=3; stepwise=True
Prophet [log],Prophet,log,1623.3775231171799,8.494706129307962,4.856302738189697,1.108393907546997,3,validation,statistical,"{""__base_model__"": ""Prophet"", ""__target_transform__"": ""log"", ""changepoint_prior_scale"": 0.5, ""seasonality_mode"": ""additive""}",seasonality_mode=additive; changepoint_prior_scale=0.5
TFT,TFT,raw,5973.30029296875,34.00505828857422,8.029992818832397,0.8835461139678955,10,validation,dl,"{""add_relative_index"": true, ""batch_size"": 32, ""dropout"": 0.1, ""hidden_size"": 32, ""input_chunk_length"": 24, ""lstm_layers"": 1, ""n_epochs"": 30, ""num_attention_heads"": 4, ""output_chunk_length"": 6, ""random_state"": 42}",input_chunk_length=24; output_chunk_length=6; n_epochs=30; batch_size=32; random_state=42; hidden_size=32; lstm_layers=1; num_attention_heads=4; dropout=0.1; add_relative_index=True
