Dataset,Series ID,Partition,Time,Value
Kaggle BTC/USD Hourly,series_0,train,2020-04-11 23:00:00,6811.8
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 00:00:00,6792.17
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 01:00:00,6873.2
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 02:00:00,6874.62
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 03:00:00,6883.18
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 04:00:00,6875.1
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 05:00:00,6848.49
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 06:00:00,6820.5
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 07:00:00,6817.45
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 08:00:00,6831.85
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 09:00:00,6846.31
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 10:00:00,6832.83
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 11:00:00,6845.01
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 12:00:00,6841.54
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 13:00:00,6854.4
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 14:00:00,6843.86
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 15:00:00,6862.9
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 16:00:00,6921.42
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 17:00:00,6932.45
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 18:00:00,6977.07
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 19:00:00,7034.06
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 20:00:00,7161.48
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 21:00:00,7123.87
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 22:00:00,7120.52
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 23:00:00,7136.11
Kaggle BTC/USD Hourly,series_0,train,2020-04-13 00:00:00,7127.18
Kaggle BTC/USD Hourly,series_0,train,2020-04-13 01:00:00,7128.02
Kaggle BTC/USD Hourly,series_0,train,2020-04-13 02:00:00,7037.96
Kaggle BTC/USD Hourly,series_0,train,2020-04-13 03:00:00,6908.24
Kaggle BTC/USD Hourly,series_0,train,2020-04-13 04:00:00,6730.0
Kaggle BTC/USD Hourly,series_0,train,2020-04-13 05:00:00,6692.49
Kaggle BTC/USD Hourly,series_0,train,2020-04-13 06:00:00,6728.6
Kaggle BTC/USD Hourly,series_0,train,2020-04-13 07:00:00,6688.1
Kaggle BTC/USD Hourly,series_0,train,2020-04-13 08:00:00,6698.58
Kaggle BTC/USD Hourly,series_0,train,2020-04-13 09:00:00,6706.91
Kaggle BTC/USD Hourly,series_0,train,2020-04-13 10:00:00,6749.64
Kaggle BTC/USD Hourly,series_0,train,2020-04-13 11:00:00,6708.43
Kaggle BTC/USD Hourly,series_0,train,2020-04-13 12:00:00,6720.0
Kaggle BTC/USD Hourly,series_0,train,2020-04-13 13:00:00,6700.82
Kaggle BTC/USD Hourly,series_0,train,2020-04-13 14:00:00,6733.91
Kaggle BTC/USD Hourly,series_0,train,2020-04-13 15:00:00,6790.74
Kaggle BTC/USD Hourly,series_0,train,2020-04-13 16:00:00,6705.57
Kaggle BTC/USD Hourly,series_0,train,2020-04-13 17:00:00,6634.49
Kaggle BTC/USD Hourly,series_0,train,2020-04-13 18:00:00,6728.01
Kaggle BTC/USD Hourly,series_0,train,2020-04-13 19:00:00,6776.83
Kaggle BTC/USD Hourly,series_0,train,2020-04-13 20:00:00,6767.14
Kaggle BTC/USD Hourly,series_0,train,2020-04-13 21:00:00,6761.46
Kaggle BTC/USD Hourly,series_0,train,2020-04-13 22:00:00,6765.6
Kaggle BTC/USD Hourly,series_0,train,2020-04-13 23:00:00,6788.0
Kaggle BTC/USD Hourly,series_0,train,2020-04-14 00:00:00,6825.62
Kaggle BTC/USD Hourly,series_0,train,2020-04-14 01:00:00,6845.6
Kaggle BTC/USD Hourly,series_0,train,2020-04-14 02:00:00,6887.47
Kaggle BTC/USD Hourly,series_0,train,2020-04-14 03:00:00,6864.22
Kaggle BTC/USD Hourly,series_0,train,2020-04-14 04:00:00,6849.06
Kaggle BTC/USD Hourly,series_0,train,2020-04-14 05:00:00,6863.68
Kaggle BTC/USD Hourly,series_0,train,2020-04-14 06:00:00,6866.98
Kaggle BTC/USD Hourly,series_0,train,2020-04-14 07:00:00,6899.01
Kaggle BTC/USD Hourly,series_0,train,2020-04-14 08:00:00,6901.27
Kaggle BTC/USD Hourly,series_0,train,2020-04-14 09:00:00,6897.83
Kaggle BTC/USD Hourly,series_0,train,2020-04-14 10:00:00,6888.35
Kaggle BTC/USD Hourly,series_0,train,2020-04-14 11:00:00,6835.32
Kaggle BTC/USD Hourly,series_0,train,2020-04-14 12:00:00,6793.74
Kaggle BTC/USD Hourly,series_0,train,2020-04-14 13:00:00,6864.47
Kaggle BTC/USD Hourly,series_0,train,2020-04-14 14:00:00,6841.07
Kaggle BTC/USD Hourly,series_0,train,2020-04-14 15:00:00,6849.59
Kaggle BTC/USD Hourly,series_0,train,2020-04-14 16:00:00,6859.3
Kaggle BTC/USD Hourly,series_0,train,2020-04-14 17:00:00,6910.0
Kaggle BTC/USD Hourly,series_0,train,2020-04-14 18:00:00,6906.87
Kaggle BTC/USD Hourly,series_0,train,2020-04-14 19:00:00,6917.04
Kaggle BTC/USD Hourly,series_0,train,2020-04-14 20:00:00,6969.43
Kaggle BTC/USD Hourly,series_0,train,2020-04-14 21:00:00,6927.38
Kaggle BTC/USD Hourly,series_0,train,2020-04-14 22:00:00,6914.59
Kaggle BTC/USD Hourly,series_0,train,2020-04-14 23:00:00,6925.34
Kaggle BTC/USD Hourly,series_0,train,2020-04-15 00:00:00,6877.9
Kaggle BTC/USD Hourly,series_0,train,2020-04-15 01:00:00,6865.52
Kaggle BTC/USD Hourly,series_0,train,2020-04-15 02:00:00,6888.76
Kaggle BTC/USD Hourly,series_0,train,2020-04-15 03:00:00,6879.75
Kaggle BTC/USD Hourly,series_0,train,2020-04-15 04:00:00,6838.29
Kaggle BTC/USD Hourly,series_0,train,2020-04-15 05:00:00,6885.49
Kaggle BTC/USD Hourly,series_0,train,2020-04-15 06:00:00,6906.23
Kaggle BTC/USD Hourly,series_0,train,2020-04-15 07:00:00,6909.85
Kaggle BTC/USD Hourly,series_0,train,2020-04-15 08:00:00,6905.96
Kaggle BTC/USD Hourly,series_0,train,2020-04-15 09:00:00,6917.67
Kaggle BTC/USD Hourly,series_0,train,2020-04-15 10:00:00,6894.8
Kaggle BTC/USD Hourly,series_0,train,2020-04-15 11:00:00,6874.87
Kaggle BTC/USD Hourly,series_0,train,2020-04-15 12:00:00,6853.69
Kaggle BTC/USD Hourly,series_0,train,2020-04-15 13:00:00,6847.89
