Model,Category,Included Because
N-BEATS,dl,Best overall validation RMSE; Best deep learning validation RMSE
Holt-Winters [log],statistical,Second-best overall validation RMSE; Best statistical validation RMSE
GraniteTTM,foundation,Best foundation validation RMSE
