Dataset,Model,Base Model,Category,Target Transform,RMSE,MAPE,Test RMSE,Test MAPE,Tuning Time (s),Best Config Time (s),Combinations,Selection Basis,Final Forecast Available,Roles,Is Best Overall,Is Fastest,Is Best Statistical,Is Best Dl,Is Best Foundation
FRED GPDIC1 Investments Quarterly,N-BEATS,N-BEATS,dl,raw,376.39996337890625,11.114418983459473,123.81562805175781,2.4104952812194824,22.676257848739624,1.3752751350402832,10,validation,True,,False,False,False,False,False
FRED GPDIC1 Investments Quarterly,Holt-Winters [log],Holt-Winters,statistical,log,404.0928420083604,11.601403934134117,72.57627563219368,1.081610124635203,1.7580909729003906,0.14607000350952148,6,validation,True,fastest; best_statistical,False,True,True,False,False
FRED GPDIC1 Investments Quarterly,AutoARIMA [log],AutoARIMA,statistical,log,407.85948158720606,11.26655090118341,139.83471899226478,2.4782722362643232,7.498273611068726,7.4964439868927,1,validation,True,,False,False,False,False,False
FRED GPDIC1 Investments Quarterly,GraniteTTM,GraniteTTM,foundation,raw,432.7179870605469,13.01419448852539,69.94187927246094,1.1890318393707275,2.1873199939727783,2.1873199939727783,1,validation,True,best_overall; best_foundation,True,False,False,False,True
FRED GPDIC1 Investments Quarterly,Prophet [log],Prophet,statistical,log,456.8272221512195,11.764131538239063,116.42417327226727,2.1181493415291355,5.810474157333374,1.410822868347168,3,validation,True,,False,False,False,False,False
FRED GPDIC1 Investments Quarterly,TimeGPT,TimeGPT,foundation,raw,458.665771484375,13.032286643981934,83.94159439187622,1.5816588214278706,25.789682865142822,25.789682865142822,1,validation,True,,False,False,False,False,False
FRED GPDIC1 Investments Quarterly,Chronos2,Chronos2,foundation,raw,459.6597595214844,13.183422088623047,84.88829040527344,1.2327156066894531,7.912229061126709,7.912229061126709,1,validation,True,,False,False,False,False,False
FRED GPDIC1 Investments Quarterly,TiDE,TiDE,dl,raw,551.7234497070312,15.278985023498535,98.65164947509766,1.6503345966339111,9.662471771240234,0.2616300582885742,10,validation,True,best_dl,False,False,False,True,False
FRED GPDIC1 Investments Quarterly,TFT,TFT,dl,raw,1257.9173583984375,33.91537094116211,728.3286743164062,15.865385055541992,33.06010293960571,4.321229934692383,10,validation,True,,False,False,False,False,False
