Model A,Model B,N,H,Criterion,Mean Loss Diff,DM Stat,P-Value Holm,Significant Holm,P-Value,Significant,Winner
GraniteTTM,Holt-Winters [log],93,1,mse,3088.845204625785,3.0419024306841527,0.009189501946364587,Yes,0.003063167315454862,Yes,Holt-Winters [log]
Holt-Winters [log],N-BEATS,93,1,mse,-30615.27017175966,-3.021965973549787,0.009189501946364587,Yes,0.0032524758718530666,Yes,Holt-Winters [log]
GraniteTTM,N-BEATS,93,1,mse,-27526.42496713387,-2.565348273792864,0.011924661723552887,Yes,0.011924661723552887,Yes,GraniteTTM
